FECHA,HORA,temperatura,humedad,presion,direccionviento,kmviento,NOMBRE
11072026,10,18.5,81,1014.0,210,15,CORRIENTES
11072026,11,19.4,77,1014.7,230,15,CORRIENTES
11072026,12,21.8,69,1014.3,230,15,CORRIENTES
11072026,13,22.6,66,1014.8,230,30,CORRIENTES
11072026,14,23.2,57,1014.3,230,30,CORRIENTES
11072026,15,23.2,55,1014.2,220,30,CORRIENTES
11072026,16,22.9,57,1014.2,210,30,CORRIENTES
11072026,17,21.6,61,1014.7,220,24,CORRIENTES
11072026,18,20.0,63,1015.2,220,22,CORRIENTES
11072026,19,18.3,58,1015.9,220,19,CORRIENTES
11072026,20,17.1,65,1016.6,230,19,CORRIENTES
11072026,21,15.5,68,1017.2,220,17,CORRIENTES
11072026,22,14.7,72,1017.7,220,15,CORRIENTES
11072026,23,13.8,81,1018.7,210,15,CORRIENTES
11072026,9,10.2,100,1016.9,230,7,DOLORES AER
11072026,10,10.6,100,1017.2,180,13,DOLORES AER
11072026,11,10.7,100,1017.5,200,15,DOLORES AER
11072026,12,10.6,100,1017.3,230,19,DOLORES AER
11072026,13,11.2,100,1016.9,180,11,DOLORES AER
11072026,14,11.4,91,1016.6,180,19,DOLORES AER
11072026,15,11.4,89,1016.5,180,19,DOLORES AER
11072026,16,11.0,89,1016.7,180,22,DOLORES AER
11072026,17,10.6,91,1017.4,180,22,DOLORES AER
11072026,18,9.8,91,1017.4,180,15,DOLORES AER
11072026,19,9.2,95,1018.5,180,15,DOLORES AER
11072026,20,8.8,96,1019.3,200,17,DOLORES AER
11072026,21,8.6,95,1019.6,180,9,DOLORES AER
11072026,9,.1,94,1025.1,0,0,EL BOLSON A
11072026,12,4.1,85,1025.6,0,0,EL BOLSON A
11072026,15,7.5,63,1022.3,0,0,EL BOLSON A
11072026,18,6.1,69,1022.5,0,0,EL BOLSON A
11072026,21,1.7,89,1024.0,0,0,EL BOLSON A
11072026,0,-6.6,100,1020.8,990,6,EL CALAFATE
11072026,1,-5.4,95,1020.3,160,7,EL CALAFATE
11072026,2,-3.4,95,1020.1,130,7,EL CALAFATE
11072026,3,-3.0,91,1019.5,990,4,EL CALAFATE
11072026,4,-3.2,91,1019.0,290,7,EL CALAFATE
11072026,5,-2.4,90,1019.0,990,4,EL CALAFATE
11072026,6,-2.4,90,1019.0,990,4,EL CALAFATE
11072026,7,-2.2,90,1018.9,90,13,EL CALAFATE
11072026,8,-2.4,90,1019.1,90,11,EL CALAFATE
11072026,9,-2.6,86,1019.6,990,6,EL CALAFATE
11072026,10,-2.4,90,1019.5,50,11,EL CALAFATE
11072026,11,-2.2,85,1019.7,20,9,EL CALAFATE
11072026,12,-1.6,90,1019.6,20,13,EL CALAFATE
11072026,13,-1.0,83,1019.3,990,4,EL CALAFATE
11072026,14,.4,78,1018.3,990,6,EL CALAFATE
11072026,15,1.2,78,1017.7,990,6,EL CALAFATE
11072026,16,.4,89,1017.2,990,4,EL CALAFATE
11072026,17,.2,78,1017.4,990,4,EL CALAFATE
11072026,18,-.8,87,1017.1,200,4,EL CALAFATE
11072026,19,-1.8,87,1017.3,200,7,EL CALAFATE
11072026,20,-2.0,86,1017.2,140,6,EL CALAFATE
11072026,21,-2.2,90,1017.2,180,4,EL CALAFATE
11072026,22,-2.6,91,1017.3,110,4,EL CALAFATE
11072026,23,-2.4,90,1017.4,110,6,EL CALAFATE
11072026,0,11.2,92,1016.0,140,9,EL PALOMAR
11072026,1,10.6,95,1016.3,140,9,EL PALOMAR
11072026,2,10.4,95,1016.6,150,6,EL PALOMAR
11072026,3,9.2,97,1015.9,50,2,EL PALOMAR
11072026,4,6.8,97,1015.8,200,6,EL PALOMAR
11072026,5,8.2,97,1015.8,200,9,EL PALOMAR
11072026,6,8.2,97,1016.8,210,15,EL PALOMAR
11072026,7,9.0,97,1017.4,200,9,EL PALOMAR
11072026,8,8.8,99,1017.9,230,6,EL PALOMAR
11072026,9,9.3,100,1018.5,210,9,EL PALOMAR
11072026,10,9.6,96,1018.6,210,11,EL PALOMAR
11072026,11,10.2,92,1018.8,220,6,EL PALOMAR
11072026,12,11.3,88,1018.8,230,15,EL PALOMAR
11072026,13,11.8,81,1018.2,220,17,EL PALOMAR
11072026,14,11.3,83,1017.6,220,13,EL PALOMAR
11072026,15,11.3,79,1017.8,230,19,EL PALOMAR
11072026,16,11.1,82,1017.8,240,17,EL PALOMAR
11072026,17,11.3,79,1018.1,230,15,EL PALOMAR
11072026,18,10.9,81,1018.5,240,13,EL PALOMAR
11072026,19,10.3,86,1019.3,250,13,EL PALOMAR
11072026,20,9.3,97,1019.9,240,15,EL PALOMAR
11072026,21,9.6,95,1019.6,230,11,EL PALOMAR
11072026,22,9.4,92,1020.2,230,9,EL PALOMAR
11072026,23,9.4,96,1020.7,210,9,EL PALOMAR
11072026,9,2.8,87,1023.3,170,13,ESCUELA DE
11072026,10,5.0,100,1023.9,160,19,ESCUELA DE
11072026,11,5.4,94,1024.9,160,11,ESCUELA DE
11072026,12,6.0,97,1025.2,180,17,ESCUELA DE
